id	Ann_long_1	Ann_long_2	Ann_long_3	Ann_long_4	Ann_long_5	Ann_long_6	Ann_long_7	Ann_long_8	Ann_long_9	Ann_long_10
420063B1	32.6197642298829	32.3035857703044	31.9190816708116	30.991155609684	30.0604735981164	29.0288819765221	28.1214082117703	27.9935347383315	25.4770729404336	24.6642402058734
420064B1	31.6559758364265	31.5815511138292	31.184807091121	30.27109633062	29.348237657547	28.2978197381498	27.3663007996218	27.2180454837654	25.1012080872491	24.4330058057827
420065B1	31.5295047184199	31.5606069549827	31.1250906585606	30.1596879371004	29.280443684108	28.2785825436038	27.408487043963	27.1669994305791	25.2127123741327	24.8235112541964
420066B1	31.810481621806	31.7129025533897	31.348334560713	30.4018927702149	29.4190688687944	28.4212611758285	27.5124201049709	27.3256312748121	25.0209367203253	24.0604693109739
420067B1	31.878383484819	31.5589356721327	31.132324081504	30.1686399352015	29.2273853824062	28.1701914804411	27.3324313786451	27.1588692400634	24.9422295160314	24.5260399556826
420068B1	31.1979159111601	30.8461452957081	30.4261283847637	29.4255664365653	28.4215610740916	27.4618050595536	26.5890231504431	26.393238008347	24.1353560124024	23.2836639289993
420069B1	31.4802700876597	31.142441609514	30.7357659885087	29.8875271454494	28.9302736325849	27.9592437522372	27.1801859203021	26.9318903272552	24.7407502493872	24.0074188690997
520070B1	30.4201619031596	30.1064654847382	29.7453669135306	28.7618337781132	27.743216897632	26.6957213212656	25.8374645550518	25.5897627233487	23.2009112060209	22.2964407450068
520071B1	28.6031096360361	28.2916725156739	28.0080131434004	27.0025159594834	25.9987171506878	24.8796707068227	23.9483395903653	23.7162648575619	21.5646052308691	20.675582270154
520072B1	29.1367508955528	28.954946188119	28.5217289920086	27.6831195538496	26.7802935541758	25.784232181393	24.8956833323723	24.5378921864499	22.3529711847159	21.6381082318478
520073B1	31.8996053057176	31.6028214092102	31.2037431674405	30.274862052156	29.3027873025278	28.243449419683	27.380491207208	27.1661883299666	24.7362633481831	23.8994427185791
520074B1	32.2688420195021	32.0049520695646	31.5897530769316	30.6328384335351	29.6696184979018	28.5780408857735	27.7082814686052	27.5532437839991	25.1502205532532	24.5182793769689
520075B1	30.9101002890336	30.517551514444	30.1566120969397	29.1795834218485	28.2159165563068	27.1862404662973	26.369007935594	26.205925752066	24.1452292787776	23.2014842099233
520076B1	32.5081119643167	32.1953432170614	31.7590307457168	30.8323743025824	29.8395486288703	28.7886155849666	27.9283600674282	27.6921493790214	25.3275817587954	24.533762132249
520077B1	32.4400442663537	32.0834445936394	31.6951271887053	30.7477369598967	29.7633352449734	28.7523780334611	27.8728734130561	27.7019382123708	25.4742752671829	24.7335308492644
520078B1	31.6461360811978	31.3363318482236	30.9138428143182	29.9308393687599	28.9783691658211	27.9725784992481	27.2198720624293	27.0314972748254	25.1328922791467	24.3075848861371
520079B1	32.1978426983494	32.2708880731422	31.8322365327553	30.9866036905186	30.1148981445465	29.1230648888955	28.2681450066833	28.075483656674	26.20879170886	25.5136098850066
520080B1	32.5375688637023	32.5601257296913	32.0879075853465	31.0815292833923	30.1132326100924	29.0109619173504	28.0534674033555	27.8402219838476	25.1311488217249	24.0217428554811
520081B1	31.1069621782166	31.1325258149304	30.7864388131284	29.8343843743192	28.9709659388271	27.9266444623428	27.1937938532958	27.0525941281951	25.2060758951031	24.6380424126548
520082B1	31.4893912246972	31.113618518034	30.7519187496189	29.7183705922547	28.7648542882871	27.6837260503204	26.7415332251721	26.6352641689967	24.0117344662913	23.2721853028233
520083B1	32.5541352182053	32.1353388757571	31.6836247255685	30.6351761728571	29.6145061627848	28.4562049586998	27.5124201049709	27.2567862380613	24.3159811879053	23.3231877389334
520084B1	31.3145977904084	30.8580978817085	30.4725083050882	29.4469267039765	28.5500309840982	27.4492052545791	26.5399296634858	26.527577335103	24.1873063598548	23.3453318126378
520085B1	30.564790873125	30.286398369377	29.8975140874013	28.9283881504986	28.01390024112	26.8748337399717	26.05186797557	25.8208832924391	23.4654384724517	22.7744321922363
620087B1	31.542478057113	31.3505328980956	30.9107845379162	29.9937568287393	29.0401119826954	27.9780010266754	27.0388436422835	26.7989195678043	24.2922754542078	23.7667420028443
620088B1	30.4529236318824	30.2449695316199	29.9560187332301	28.9817795305667	27.9627566147688	27.0508354283711	26.1566744743219	26.0671470603104	23.7133787157866	23.1525079785779
620121B1	32.8061177351261	32.6997323647472	32.3257741048609	31.3594363849914	30.5040457414433	29.4808868927848	28.5345214702341	28.4085302669044	26.1814478483223	25.5950314406174
620122B1	32.4767140518772	32.1658464215854	31.7198360842112	30.7304732071124	29.7848714418441	28.8198246337759	27.8856600787255	27.6302774325137	25.4417362321643	24.6187093684457
620123B1	32.3815554473331	32.1123789711774	31.6976162414781	30.7536451670989	29.7869314342404	28.7516446499242	27.8248859610535	27.5993091290318	25.2980807151708	24.4868452797764
620124B1	30.5975706019691	30.3328091839995	29.995163037634	29.0071792003654	28.0468136848192	27.0278192340131	26.1875434092393	26.134935407969	23.5684331021707	22.9608749286049
620125B1	31.0254812529897	30.7758904802052	30.3814456157086	29.4095848209349	28.4609330874025	27.233414938396	26.4171691633557	26.1365137937108	23.5396923147621	22.488429535651
620126B1	32.4150694782922	32.1481837015701	31.6824529284	30.6820213853448	29.6336648658199	28.60203593168	27.7449769623159	27.5462776998682	25.4770729404336	24.465531855914
620127B1	32.329310041673	32.0601367753743	31.668320405899	30.7115991978029	29.7622897293724	28.7446603023631	27.8902375036675	27.7042325006772	25.4812600674025	24.7084801085911
620128B1	33.4597479362722	33.1770497587701	32.6927848708079	31.6676540035265	30.6002790086631	29.5309304858803	28.5699284219943	28.3236956900169	25.5824449904676	24.5000198522412
620129B1	30.9995070457602	30.6082169112876	30.1891798138902	29.2255539442031	28.1958543396716	27.2372826731464	26.2664842412721	26.0031480195111	23.813892256544	23.3231877389334
620130B1	29.0420518791404	28.8637547538191	28.2762701190446	27.2515900584829	26.2160847527526	25.3948546942915	24.5972946242354	23.8530246694321	21.530087007784	20.7347562189461
620089B1	32.4088841457794	32.1923085822676	31.7075318709105	30.7795673017078	29.7244396920596	28.7305973439236	27.8963197242077	27.5290450590716	25.4417362321643	24.70157770878
620090B1	30.9706589713228	30.7337835281112	30.3004617023127	29.3562179830229	28.4146917287493	27.4850565574931	26.7102511609013	26.2563812661623	24.3479997594033	23.5021044224323
620091B1	30.7367078336409	30.4074542496769	30.0188754635988	29.0406039282701	28.050779940593	27.0355289872413	26.2606650755605	25.9506851121005	23.7975827931207	23.1083573150534
620092B1	31.0982024286235	30.7533890821738	30.2731843551076	29.3210813416024	28.3357233150923	27.3562560318492	26.564072541875	26.3388307485265	24.3765484601359	23.3779702973512
310001T1	31.2615050226366	30.594130142837	30.1261323381565	28.0484408223366	27.4051753715384	25.8084906452935	25.2045290553825	25.4512618997732	23.6605875474262	23.2606217227396
310002T1	31.4744795152933	30.7994405045032	30.2445455159134	28.1376760954261	27.3894499515992	25.8535705621006	25.2528310029329	25.3706178781771	23.5005298498142	23.2254084617737
